time,open,high,low,close
2021-04-02T21:00:00Z,58630.47338772,58630.47338772,58400,58594
2021-04-02T21:05:00Z,58602,58631,58525.78031498,58607
2021-04-02T21:10:00Z,58615,58617,58539,58548
2021-04-02T21:15:00Z,58548,58633,58439,58633
2021-04-02T21:20:00Z,58633,58700,58633,58699.852248
2021-04-02T21:25:00Z,58700,58700,58645,58687.24610196
2021-04-02T21:30:00Z,58687.24610196,58710,58649.6125026,58660
2021-04-02T21:35:00Z,58660,58751,58660,58744
2021-04-02T21:40:00Z,58744,58824,58744,58823.66789964
2021-04-02T21:45:00Z,58824,58824,58731,58759
2021-04-02T21:50:00Z,58759,58820.894046,58731,58769
